type,No,Data,Description,Variable,Format,Bytes,Min,Max
header,1,0,Header,header,byte,1,0xff,0xff
header,2,1,Command Type 0,command0,byte,1,0x00,0xff
header,3,2,Command Type 1,command1,byte,1,0x00,0xff
header,4,3,Command Type 2,command2,byte,1,0x00,0xff
header,5,4,Command Type 3,command3,byte,1,0x00,0xff
header,6,5,SD Period (*1),sd_period,byte,1,0x02,0x02
header,7,6,SD ID (*2),sd_id,byte,1,0x01,0x32
header,8,7,Store SD Period (*3),store_sd_period,byte,1,0x01,0x78
header,9,8,Filter Pattern Number,filter_pattern_number,byte,1,0x00,0xff
header,10,9,Length (*4),length,byte,2,0x0000,0xffff
header,11,11,Data Type,data_type,byte,1,0x00,0x02
header,12,12,Row number of matrix on SDRS,row_on_sdrs,byte,1,0x01,0x32
header,13,13,Column number of matrix on SDRS,col_on_sdrs,byte,1,0x01,0x31
header,14,14,Size of matrix on SDRS,size_on_sdrs,byte,2,0x0000,0xffff
header,15,16,Vehicle-ID (*5),vehicle_id,string,8,*,*
header,16,24,ID of target vehicle (*6),target_id,byte,1,0x01,0x02
,17,,,,,,,
